seed,best_model,best_val_auc,best_sensitivity,best_specificity,best_cv_auc,selected_features
15,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.6816239316239316,"POE25, POE21, POE26..."
126,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.5564102564102564,"POE25, POE26, POE21..."
188,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.6747863247863247,"POE25, POE26, POE21..."
110,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.5782051282051281,"POE25, POE21, POE26..."
151,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.4726495726495726,"POE25, POE21, POE26..."
11,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.6128205128205128,"POE25, POE26, POE21..."
105,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.5465811965811966,"POE25, POE26, POE21..."
164,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.6042735042735042,"POE25, POE21, POE26..."
190,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.6388888888888887,"POE21, POE26, POE25..."
183,Random Forest,0.5931665421956682,0.6153846153846154,0.7087378640776699,0.5196581196581196,"POE25, POE21, POE15.C16..."
39,Random Forest,0.5918595967139657,0.5769230769230769,0.6601941747572816,0.7021367521367521,"POE25, POE21, POE26..."
45,Random Forest,0.5918595967139657,0.8076923076923077,0.4563106796116505,0.6230769230769231,"POE25, POE21, POE26..."
124,Random Forest,0.5912994772218073,0.5384615384615384,0.6990291262135923,0.6679487179487179,"POE25, POE26, POE21..."
161,Random Forest,0.589058999253174,0.8461538461538461,0.3786407766990291,0.6474358974358974,"POE25, POE21, POE26..."
103,Random Forest,0.5888722927557879,0.8076923076923077,0.49514563106796117,0.6252136752136751,"POE25, POE21, POE26..."
3,SVM RBF,0.5881254667662434,0.7307692307692307,0.44660194174757284,0.6555555555555556,"POE25, POE26, POE17..."
25,Random Forest,0.587565347274085,0.5384615384615384,0.7087378640776699,0.6021367521367521,"POE25, POE21, POE26..."
51,Random Forest,0.585698282300224,0.5769230769230769,0.7087378640776699,0.5910256410256409,"POE25, POE21, POE15.C16..."
197,Random Forest,0.5830843913368186,0.6153846153846154,0.6699029126213593,0.4666666666666666,"POE25, POE21, POE15.C16..."
193,XGBoost,0.5830843913368186,0.7692307692307693,0.47572815533980584,0.5297008547008547,"POE25, POE15.C16, POE29.C16..."
121,Random Forest,0.5830843913368186,0.5384615384615384,0.7281553398058253,0.7149572649572651,"POE25, POE21, POE26..."
104,XGBoost,0.5830843913368186,0.7692307692307693,0.47572815533980584,0.5365384615384615,"POE25, POE29.C16, POE15.C16..."
174,XGBoost,0.5830843913368186,0.7692307692307693,0.47572815533980584,0.6495726495726496,"POE29.C16, POE25, POE15.C16..."
169,Gradient Boosting,0.5793502613890963,0.38461538461538464,0.8155339805825242,0.5089743589743589,"POE25, POE20, POE17..."
49,Random Forest,0.5791635548917102,0.5384615384615384,0.7184466019417476,0.6572649572649573,"POE26, POE21, POE25..."
109,Random Forest,0.5774831964152352,0.6153846153846154,0.6407766990291263,0.576068376068376,"POE21, POE25, POE15.C16..."
34,Random Forest,0.5765496639283046,0.6153846153846154,0.6601941747572816,0.638888888888889,"POE25, POE15.C16, POE21..."
98,Gradient Boosting,0.5759895444361464,0.34615384615384615,0.8058252427184466,0.6425213675213675,"POE25, POE29.C16, POE17..."
180,Gradient Boosting,0.5758028379387602,0.3076923076923077,0.8737864077669902,0.5948717948717949,"POE25, POE26, POE17..."
115,Random Forest,0.575242718446602,0.6923076923076923,0.5339805825242718,0.6243589743589744,"POE25, POE21, POE26..."
44,Random Forest,0.5750560119492159,0.8076923076923077,0.39805825242718446,0.6098290598290598,"POE25, POE26, POE21..."
20,SVM Linear,0.5739357729648992,0.6538461538461539,0.5922330097087378,0.5636752136752137,"POE25, POE21, POE17..."
141,SVM Linear,0.5739357729648992,0.6538461538461539,0.5922330097087378,0.6132478632478632,"POE25, POE21, POE17..."
70,SVM Linear,0.5739357729648992,0.6538461538461539,0.5922330097087378,0.5269230769230768,"POE25, POE21, POE17..."
189,SVM Linear,0.5739357729648992,0.6538461538461539,0.5922330097087378,0.626923076923077,"POE25, POE21, POE17..."
8,Random Forest,0.5716952949962658,0.5769230769230769,0.7087378640776699,0.5440170940170941,"POE25, POE21, POE15.C16..."
101,Random Forest,0.5711351755041075,0.8076923076923077,0.4077669902912621,0.6835470085470086,"POE25, POE26, POE21..."
118,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6512820512820513,"POE21, POE25, POE29.C16..."
64,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6679487179487179,"POE25, POE29.C16, POE21..."
27,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6119658119658119,"POE25, POE29.C16, POE21..."
176,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.7038461538461538,"POE25, POE29.C16, POE21..."
28,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6405982905982905,"POE25, POE21, POE29.C16..."
71,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6448717948717949,"POE25, POE29.C16, POE21..."
87,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6995726495726495,"POE21, POE25, POE29.C16..."
88,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6858974358974359,"POE25, POE21, POE29.C16..."
12,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.7324786324786324,"POE29.C16, POE25, POE21..."
90,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.5773504273504273,"POE25, POE21, POE29.C16..."
91,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.652991452991453,"POE29.C16, POE25, POE21..."
30,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6991452991452991,"POE29.C16, POE25, POE21..."
165,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.5807692307692307,"POE29.C16, POE25, POE21..."
80,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6448717948717949,"POE25, POE29.C16, POE21..."
92,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6816239316239316,"POE29.C16, POE25, POE21..."
162,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6551282051282051,"POE25, POE29.C16, POE21..."
102,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6944444444444444,"POE29.C16, POE25, POE21..."
150,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6290598290598289,"POE29.C16, POE25, POE21..."
18,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6649572649572649,"POE25, POE29.C16, POE21..."
37,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6188034188034187,"POE25, POE29.C16, POE21..."
134,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6525641025641026,"POE25, POE29.C16, POE21..."
129,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6730769230769231,"POE29.C16, POE25, POE21..."
125,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6602564102564102,"POE29.C16, POE25, POE21..."
123,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6512820512820513,"POE25, POE21, POE29.C16..."
40,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6418803418803419,"POE29.C16, POE25, POE21..."
158,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.679059829059829,"POE25, POE21, POE29.C16..."
46,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.6380341880341881,"POE25, POE21, POE29.C16..."
181,SVM Linear,0.5660941000746826,0.9230769230769231,0.33980582524271846,0.7085470085470085,"POE25, POE21, POE29.C16..."
26,Random Forest,0.5636669156086631,0.6923076923076923,0.5533980582524272,0.6025641025641025,"POE25, POE21, POE26..."
